BenchmarkAppend/*main.AVLRope_Append_40000_2000-8         	1000000000	         0.008001 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_40000_5000-8         	1000000000	         0.01111 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_40000_10000-8        	1000000000	         0.01202 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_40000_20000-8        	1000000000	         0.03144 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_40000_30000-8        	1000000000	         0.009352 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_40000_35000-8        	1000000000	         0.003997 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_40000_40000-8        	1000000000	         0.003758 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_40000_2000-8       	1000000000	         0.02301 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_40000_5000-8       	1000000000	         0.02802 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_40000_10000-8      	1000000000	         0.02400 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_40000_20000-8      	1000000000	         0.01201 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_40000_30000-8      	1000000000	         0.01999 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_40000_35000-8      	1000000000	         0.008008 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_40000_40000-8      	1000000000	         0.02120 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_80000_2000-8         	1000000000	         0.01598 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_80000_10000-8        	1000000000	         0.01380 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_80000_20000-8        	1000000000	         0.01600 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_80000_40000-8        	1000000000	         0.008013 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_80000_60000-8        	1000000000	         0.01563 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_80000_70000-8        	1000000000	         0.01601 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_80000_80000-8        	1000000000	         0.01600 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_80000_2000-8       	1000000000	         0.02058 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_80000_10000-8      	1000000000	         0.02400 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_80000_20000-8      	1000000000	         0.02800 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_80000_40000-8      	1000000000	         0.01999 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_80000_60000-8      	1000000000	         0.04654 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_80000_70000-8      	1000000000	         0.02037 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_80000_80000-8      	1000000000	         0.02402 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_120000_2000-8        	1000000000	         0.01600 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_120000_15000-8       	1000000000	         0.01000 ns/op	       0 B/op	       0 allocs/op
