BenchmarkDelete/*main.AVLRope_delete_40000_const-8         	1000000000	         0.001002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_40000_0:39999-8       	1000000000	         0.0009976 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_40000_0:5000-8        	1000000000	         0.001001 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_40000_0:20000-8       	1000000000	         0.0005642 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_40000_20000:39999-8   	1000000000	         0.001089 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_40000_10000:30000-8   	1000000000	         0.0009973 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_40000_35000:39999-8   	1000000000	         0.001021 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_40000_const-8       	1000000000	         0.002038 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_40000_0:39999-8     	1000000000	         0.003002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_40000_0:5000-8      	1000000000	         0.001999 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_40000_0:20000-8     	1000000000	         0.002016 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_40000_20000:39999-8 	1000000000	         0.002036 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_40000_10000:30000-8 	1000000000	         0.002997 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_40000_35000:39999-8 	1000000000	         0.003005 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_80000_const-8         	1000000000	         0.003029 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_80000_0:79999-8       	1000000000	         0.003998 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_80000_0:10000-8       	1000000000	         0.003004 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_80000_0:40000-8       	1000000000	         0.002253 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_80000_40000:79999-8   	1000000000	         0.002001 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_80000_20000:60000-8   	1000000000	         0.002022 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_80000_70000:79999-8   	1000000000	         0.002000 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_80000_const-8       	1000000000	         0.004982 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_80000_0:79999-8     	1000000000	         0.007044 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_80000_0:10000-8     	1000000000	         0.004509 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_80000_0:40000-8     	1000000000	         0.004011 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_80000_40000:79999-8 	1000000000	         0.004996 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_80000_20000:60000-8 	1000000000	         0.004996 ns/op	       0 B/op	       0 allocs/op
