BenchmarkDelete/*main.AVLRope_delete_diffLen_40000_5000:10000-8         	1000000000	         0.001101 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_40000_5000:10000-8       	1000000000	         0.001092 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_40000_5000:15000-8         	1000000000	         0.001108 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_40000_10000:15000-8      	1000000000	         0.001136 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_40000_5000:25000-8         	1000000000	         0.001651 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_40000_20000:25000-8      	1000000000	         0.001111 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_40000_5000:35000-8         	1000000000	         0.0006087 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_40000_30000:35000-8      	1000000000	         0.001142 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_40000_5000:39999-8         	1000000000	         0.001100 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_40000_35000:39999-8      	1000000000	         0.001124 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_40000_5000:10000-8       	1000000000	         0.002248 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_40000_5000:10000-8     	1000000000	         0.006581 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_40000_5000:15000-8       	1000000000	         0.01012 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_40000_10000:15000-8    	1000000000	         0.006604 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_40000_5000:25000-8       	1000000000	         0.01062 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_40000_20000:25000-8    	1000000000	         0.01012 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_40000_5000:35000-8       	1000000000	         0.01015 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_40000_30000:35000-8    	1000000000	         0.01012 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_40000_5000:39999-8       	1000000000	         0.01012 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_40000_35000:39999-8    	1000000000	         0.01025 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_80000_10000:20000-8        	1000000000	         0.007045 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_80000_10000:20000-8      	1000000000	         0.009684 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_80000_10000:30000-8        	1000000000	         0.01064 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_80000_20000:30000-8      	1000000000	         0.01001 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_80000_10000:50000-8        	1000000000	         0.009987 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_80000_40000:50000-8      	1000000000	         0.009860 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_80000_10000:70000-8        	1000000000	         0.01064 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_80000_60000:70000-8      	1000000000	         0.009756 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_80000_10000:79999-8        	1000000000	         0.01069 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_80000_70000:79999-8      	1000000000	         0.009653 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_80000_10000:20000-8      	1000000000	         0.009972 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_80000_10000:20000-8    	1000000000	         0.009990 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_80000_10000:30000-8      	1000000000	         0.009992 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_80000_20000:30000-8    	1000000000	         0.01000 ns/op	       0 B/op	       0 allocs/op
