BenchmarkIndex/*main.AVLRope_index_40000_const-8         	1000000000	         0.0005377 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_40000_at_0-8          	1000000000	         0.0005491 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_40000_at_5000-8       	1000000000	         0.0005452 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_40000_at_10000-8      	1000000000	         0.0005712 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_40000_at_20000-8      	1000000000	         0.0009987 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_40000_at_30000-8      	1000000000	         0.001001 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_40000_at_35000-8      	1000000000	         0.001003 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_40000_at_39999-8      	1000000000	         0.001002 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_const-8       	1000000000	         0.0009987 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_at_0-8        	1000000000	         0.0009983 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_at_5000-8     	1000000000	         0.0005333 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_at_10000-8    	1000000000	         0.009271 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_at_20000-8    	1000000000	         0.002023 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_at_30000-8    	1000000000	         0.006124 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_at_35000-8    	1000000000	         0.003018 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_at_39999-8    	1000000000	         0.007055 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_const-8         	1000000000	         0.0009944 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_at_0-8          	1000000000	         0.0005979 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_at_10000-8      	1000000000	         0.0000162 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_at_20000-8      	1000000000	         0.0005804 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_at_40000-8      	1000000000	         0.001997 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_at_60000-8      	1000000000	         0.008858 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_at_70000-8      	1000000000	         0.0006649 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_at_79999-8      	1000000000	         0.0005362 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_80000_const-8       	1000000000	         0.001020 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_80000_at_0-8        	1000000000	         0.005484 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_80000_at_10000-8    	1000000000	         0.001005 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_80000_at_20000-8    	1000000000	         0.007580 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_80000_at_40000-8    	1000000000	         0.007236 ns/op	       0 B/op	       0 allocs/op
