BenchmarkIndex/*main.AVLRope_index_40000_const-8         	1000000000	         0.0005576 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_const-8       	1000000000	         0.0007570 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_const-8         	1000000000	         0.006019 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_80000_const-8       	1000000000	         0.003015 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_120000_const-8        	1000000000	         0.003028 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_120000_const-8      	1000000000	         0.003020 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_const-8        	1000000000	         0.004006 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_160000_const-8      	1000000000	         0.001002 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_200000_const-8        	1000000000	         0.009427 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_200000_const-8      	1000000000	         0.003588 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_240000_const-8        	1000000000	         0.0009960 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_240000_const-8      	1000000000	         0.007006 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_280000_const-8        	1000000000	         0.0009986 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_280000_const-8      	1000000000	         0.009079 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_320000_const-8        	1000000000	         0.01016 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_320000_const-8      	1000000000	         0.005998 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_360000_const-8        	1000000000	         0.003997 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_360000_const-8      	1000000000	         0.004001 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_400000_const-8        	1000000000	         0.006092 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_400000_const-8      	1000000000	         0.002039 ns/op	       0 B/op	       0 allocs/op

BenchmarkIndex/*main.AVLRope_index_40000_const-8         	1000000000	         0.0005355 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_const-8       	1000000000	         0.0005485 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_const-8         	1000000000	         0.002005 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_80000_const-8       	1000000000	         0.006005 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_120000_const-8        	1000000000	         0.008663 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_120000_const-8      	1000000000	         0.005737 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_const-8        	1000000000	         0.002107 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_160000_const-8      	1000000000	         0.002020 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_200000_const-8        	1000000000	         0.005032 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_200000_const-8      	1000000000	         0.002005 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_240000_const-8        	1000000000	         0.0001321 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_240000_const-8      	1000000000	         0.001989 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_280000_const-8        	1000000000	         0.005998 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_280000_const-8      	1000000000	         0.006000 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_320000_const-8        	1000000000	         0.0000716 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_320000_const-8      	1000000000	         0.007996 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_360000_const-8        	1000000000	         0.009174 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_360000_const-8      	1000000000	         0.009541 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_400000_const-8        	1000000000	         0.009989 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_400000_const-8      	1000000000	         0.009985 ns/op	       0 B/op	       0 allocs/op

BenchmarkIndex/*main.AVLRope_index_40000_const-8         	1000000000	         0.0005520 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_const-8       	1000000000	         0.005387 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_const-8         	1000000000	         0.005995 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_80000_const-8       	1000000000	         0.004008 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_120000_const-8        	1000000000	         0.004072 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_120000_const-8      	1000000000	         0.003003 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_const-8        	1000000000	         0.0005512 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_160000_const-8      	1000000000	         0.005092 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_200000_const-8        	1000000000	         0.001005 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_200000_const-8      	1000000000	         0.007187 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_240000_const-8        	1000000000	         0.002046 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_240000_const-8      	1000000000	         0.003023 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_280000_const-8        	1000000000	         0.0001071 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_280000_const-8      	1000000000	         0.007536 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_320000_const-8        	1000000000	         0.006261 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_320000_const-8      	1000000000	         0.001024 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_360000_const-8        	1000000000	         0.002042 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_360000_const-8      	1000000000	         0.004503 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_400000_const-8        	1000000000	         0.001999 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_400000_const-8      	1000000000	         0.008358 ns/op	       0 B/op	       0 allocs/op

BenchmarkIndex/*main.AVLRope_index_40000_const-8         	1000000000	         0.0000103 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_const-8       	1000000000	         0.001565 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_const-8         	1000000000	         0.005561 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_80000_const-8       	1000000000	         0.005554 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_120000_const-8        	1000000000	         0.008013 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_120000_const-8      	1000000000	         0.008557 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_const-8        	1000000000	         0.009601 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_160000_const-8      	1000000000	         0.0005857 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_200000_const-8        	1000000000	         0.009991 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_200000_const-8      	1000000000	         0.002551 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_240000_const-8        	1000000000	         0.009621 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_240000_const-8      	1000000000	         0.009066 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_280000_const-8        	1000000000	         0.008106 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_280000_const-8      	1000000000	         0.007583 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_320000_const-8        	1000000000	         0.009970 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_320000_const-8      	1000000000	         0.009996 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_360000_const-8        	1000000000	         0.01002 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_360000_const-8      	1000000000	         0.005566 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_400000_const-8        	1000000000	         0.009108 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_400000_const-8      	1000000000	         0.0001203 ns/op	       0 B/op	       0 allocs/op

BenchmarkIndex/*main.AVLRope_index_40000_const-8         	1000000000	         0.0005726 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_const-8       	1000000000	         0.0005368 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_const-8         	1000000000	         0.0005151 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_80000_const-8       	1000000000	         0.001368 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_120000_const-8        	1000000000	         0.009574 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_120000_const-8      	1000000000	         0.01020 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_const-8        	1000000000	         0.005060 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_160000_const-8      	1000000000	         0.006781 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_200000_const-8        	1000000000	         0.003748 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_200000_const-8      	1000000000	         0.003019 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_240000_const-8        	1000000000	         0.007081 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_240000_const-8      	1000000000	         0.009414 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_280000_const-8        	1000000000	         0.005069 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_280000_const-8      	1000000000	         0.007053 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_320000_const-8        	1000000000	         0.009082 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_320000_const-8      	1000000000	         0.009979 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_360000_const-8        	1000000000	         0.007104 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_360000_const-8      	1000000000	         0.007423 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_400000_const-8        	1000000000	         0.001014 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_400000_const-8      	1000000000	         0.009151 ns/op	       0 B/op	       0 allocs/op
