BenchmarkInsert/*main.AVLRope_insert_80000_Start_0-8         	1000000000	         0.001677 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Start_10000-8     	1000000000	         0.001102 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Size_5000-8       	1000000000	         0.001681 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Start_20000-8     	1000000000	         0.001641 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Size_10000-8      	1000000000	         0.001744 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Start_40000-8     	1000000000	         0.001998 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Size_15000-8      	1000000000	         0.001004 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Start_60000-8     	1000000000	         0.002016 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Size_20000-8      	1000000000	         0.002016 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Start_80000-8     	1000000000	         0.002036 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_80000_Size_25000-8      	1000000000	         0.002016 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Start_0-8       	1000000000	         0.005987 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Start_10000-8   	1000000000	         0.04380 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Size_5000-8     	1000000000	         0.02456 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Start_20000-8   	1000000000	         0.07193 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Size_10000-8    	1000000000	         0.08066 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Start_40000-8   	1000000000	         0.1262 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Size_15000-8    	1000000000	         0.1440 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Start_60000-8   	1000000000	         0.06600 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Size_20000-8    	1000000000	         0.2640 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Start_80000-8   	1000000000	         0.005014 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_80000_Size_25000-8    	1000000000	         0.4080 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Start_0-8        	1000000000	         0.004016 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Start_20000-8    	1000000000	         0.003000 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Size_5000-8      	1000000000	         0.003002 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Start_40000-8    	1000000000	         0.003002 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Size_10000-8     	1000000000	         0.004003 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Start_80000-8    	1000000000	         0.003980 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Size_15000-8     	1000000000	         0.003017 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Start_120000-8   	1000000000	         0.003024 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Size_20000-8     	1000000000	         0.003982 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Start_160000-8   	1000000000	         0.002018 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_160000_Size_25000-8     	1000000000	         0.004009 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Start_0-8      	1000000000	         0.01200 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Start_20000-8  	1000000000	         0.06900 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Size_5000-8    	1000000000	         0.03100 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Start_40000-8  	1000000000	         0.1020 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Size_10000-8   	1000000000	         0.07800 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Start_80000-8  	1000000000	         0.1920 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Size_15000-8   	1000000000	         0.1540 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Start_120000-8 	1000000000	         0.1280 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Size_20000-8   	1000000000	         0.2480 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Start_160000-8 	1000000000	         0.009993 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_160000_Size_25000-8   	1000000000	         0.3740 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Start_0-8        	1000000000	         0.006042 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Start_30000-8    	1000000000	         0.004013 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Size_5000-8      	1000000000	         0.004016 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Start_60000-8    	1000000000	         0.006027 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Size_10000-8     	1000000000	         0.005003 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Start_120000-8   	1000000000	         0.005018 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Size_15000-8     	1000000000	         0.006003 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Start_180000-8   	1000000000	         0.004997 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Size_20000-8     	1000000000	         0.005327 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Start_240000-8   	1000000000	         0.005002 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_240000_Size_25000-8     	1000000000	         0.005003 ns/op	       0 B/op	       0 allocs/op
