BenchmarkReport/*main.AVLRope_report_40000-8         	1000000000	         0.01408 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_40000-8       	1000000000	         0.005011 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_80000-8         	1000000000	         0.0009812 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_80000-8       	1000000000	         0.004000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_120000-8        	1000000000	         0.005573 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_120000-8      	1000000000	         0.005314 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_160000-8        	1000000000	         0.002523 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_160000-8      	1000000000	         0.008390 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_200000-8        	1000000000	         0.001140 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_200000-8      	1000000000	         0.003249 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_240000-8        	1000000000	         0.01251 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_240000-8      	1000000000	         0.01800 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_280000-8        	1000000000	         0.005997 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_280000-8      	1000000000	         0.002800 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_320000-8        	1000000000	         0.003003 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_320000-8      	1000000000	         0.01244 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_360000-8        	1000000000	         0.01794 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_360000-8      	1000000000	         0.006324 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_400000-8        	1000000000	         0.01800 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_400000-8      	1000000000	         0.008999 ns/op	       0 B/op	       0 allocs/op

BenchmarkReport/*main.AVLRope_report_40000-8         	1000000000	         0.0005131 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_40000-8       	1000000000	         0.005999 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_80000-8         	1000000000	         0.002998 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_80000-8       	1000000000	         0.006999 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_120000-8        	1000000000	         0.006978 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_120000-8      	1000000000	         0.002000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_160000-8        	1000000000	         0.002908 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_160000-8      	1000000000	         0.002001 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_200000-8        	1000000000	         0.01498 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_200000-8      	1000000000	         0.003015 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_240000-8        	1000000000	         0.007001 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_240000-8      	1000000000	         0.01307 ns/op	       0 B/op	       0 allocs/op
