BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_40000_5000:10000-8         	1000000000	         0.0005585 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_40000_5000:15000-8         	1000000000	         0.0006248 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_40000_5000:25000-8         	1000000000	         0.0006306 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_40000_5000:35000-8         	1000000000	         0.0001328 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_40000_5000:10000-8       	1000000000	         0.0005643 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_40000_5000:15000-8       	1000000000	         0.0005537 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_40000_5000:25000-8       	1000000000	         0.007048 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_40000_5000:35000-8       	1000000000	         0.004575 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_80000_10000:20000-8        	1000000000	         0.009047 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_80000_10000:30000-8        	1000000000	         0.004999 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_80000_10000:50000-8        	1000000000	         0.001996 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_80000_10000:70000-8        	1000000000	         0.001002 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_80000_10000:20000-8      	1000000000	         0.005003 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_80000_10000:30000-8      	1000000000	         0.003387 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_80000_10000:50000-8      	1000000000	         0.003442 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_80000_10000:70000-8      	1000000000	         0.001028 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_120000_15000:30000-8       	1000000000	         0.001995 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_120000_15000:45000-8       	1000000000	         0.004997 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_120000_15000:75000-8       	1000000000	         0.003000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_120000_15000:105000-8      	1000000000	         0.004057 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_120000_15000:30000-8     	1000000000	         0.001018 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_120000_15000:45000-8     	1000000000	         0.009902 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_120000_15000:75000-8     	1000000000	         0.001019 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_120000_15000:105000-8    	1000000000	         0.002990 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_160000_20000:40000-8       	1000000000	         0.0007738 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_160000_20000:60000-8       	1000000000	         0.001025 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_160000_20000:100000-8      	1000000000	         0.0008551 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_160000_20000:140000-8      	1000000000	         0.001001 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_160000_20000:40000-8     	1000000000	         0.009040 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_160000_20000:60000-8     	1000000000	         0.003021 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_160000_20000:100000-8    	1000000000	         0.003014 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_160000_20000:140000-8    	1000000000	         0.005991 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_200000_25000:50000-8       	1000000000	         0.004062 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_200000_25000:75000-8       	1000000000	         0.01000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_200000_25000:125000-8      	1000000000	         0.002011 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_200000_25000:175000-8      	1000000000	         0.01116 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_200000_25000:50000-8     	1000000000	         0.006528 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_200000_25000:75000-8     	1000000000	         0.004991 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_200000_25000:125000-8    	1000000000	         0.01000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_200000_25000:175000-8    	1000000000	         0.007005 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_240000_30000:60000-8       	1000000000	         0.003999 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_240000_30000:90000-8       	1000000000	         0.002035 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_240000_30000:150000-8      	1000000000	         0.001011 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_240000_30000:210000-8      	1000000000	         0.002010 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_240000_30000:60000-8     	1000000000	         0.008010 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_240000_30000:90000-8     	1000000000	         0.0009830 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_240000_30000:150000-8    	1000000000	         0.01001 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_240000_30000:210000-8    	1000000000	         0.01455 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_280000_35000:70000-8       	1000000000	         0.001999 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_280000_35000:105000-8      	1000000000	         0.003999 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_280000_35000:175000-8      	1000000000	         0.009017 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_280000_35000:245000-8      	1000000000	         0.006024 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_280000_35000:70000-8     	1000000000	         0.001997 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_280000_35000:105000-8    	1000000000	         0.004378 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_280000_35000:175000-8    	1000000000	         0.008999 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_280000_35000:245000-8    	1000000000	         0.008543 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_320000_40000:80000-8       	1000000000	         0.004997 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_320000_40000:120000-8      	1000000000	         0.002993 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_320000_40000:200000-8      	1000000000	         0.005002 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_320000_40000:280000-8      	1000000000	         0.006081 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_320000_40000:80000-8     	1000000000	         0.003004 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_320000_40000:120000-8    	1000000000	         0.001994 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_320000_40000:200000-8    	1000000000	         0.009886 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_320000_40000:280000-8    	1000000000	         0.01203 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_360000_45000:90000-8       	1000000000	         0.003004 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_360000_45000:135000-8      	1000000000	         0.004003 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_360000_45000:225000-8      	1000000000	         0.01254 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_360000_45000:315000-8      	1000000000	         0.002998 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_360000_45000:90000-8     	1000000000	         0.003517 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_360000_45000:135000-8    	1000000000	         0.004000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_360000_45000:225000-8    	1000000000	         0.003276 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_360000_45000:315000-8    	1000000000	         0.006005 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_400000_50000:100000-8      	1000000000	         0.001998 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_400000_50000:150000-8      	1000000000	         0.008974 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_400000_50000:250000-8      	1000000000	         0.005981 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_400000_50000:350000-8      	1000000000	         0.005021 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_400000_50000:100000-8    	1000000000	         0.01011 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_400000_50000:150000-8    	1000000000	         0.006047 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_400000_50000:250000-8    	1000000000	         0.006681 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_400000_50000:350000-8    	1000000000	         0.004999 ns/op	       0 B/op	       0 allocs/op

BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_40000_5000:10000-8         	1000000000	         0.002005 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_40000_5000:15000-8         	1000000000	         0.007125 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_40000_5000:25000-8         	1000000000	         0.002008 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_40000_5000:35000-8         	1000000000	         0.008476 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_40000_5000:10000-8       	1000000000	         0.005065 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_40000_5000:15000-8       	1000000000	         0.007182 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_40000_5000:25000-8       	1000000000	         0.006029 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_40000_5000:35000-8       	1000000000	         0.0009999 ns/op	       0 B/op	       0 allocs/op
