BenchmarkReportRange/*main.AVLRope_reportRange_changePos_40000_5000:10000-8         	1000000000	         0.0009908 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_40000_10000:15000-8        	1000000000	         0.002003 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_40000_20000:25000-8        	1000000000	         0.0005516 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_40000_30000:35000-8        	1000000000	         0.01065 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_40000_5000:10000-8       	1000000000	         0.002935 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_40000_10000:15000-8      	1000000000	         0.002089 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_40000_20000:25000-8      	1000000000	         0.006316 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_40000_30000:35000-8      	1000000000	         0.01103 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_80000_10000:20000-8        	1000000000	         0.009791 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_80000_20000:30000-8        	1000000000	         0.006880 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_80000_40000:50000-8        	1000000000	         0.006151 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_80000_60000:70000-8        	1000000000	         0.002057 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_80000_10000:20000-8      	1000000000	         0.001002 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_80000_20000:30000-8      	1000000000	         0.001027 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_80000_40000:50000-8      	1000000000	         0.003000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_80000_60000:70000-8      	1000000000	         0.001001 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_120000_15000:30000-8       	1000000000	         0.007117 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_120000_30000:45000-8       	1000000000	         0.0009798 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_120000_60000:75000-8       	1000000000	         0.001027 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_120000_90000:105000-8      	1000000000	         0.003048 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_120000_15000:30000-8     	1000000000	         0.007503 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_120000_30000:45000-8     	1000000000	         0.0001002 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_120000_60000:75000-8     	1000000000	         0.004034 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_120000_90000:105000-8    	1000000000	         0.005146 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_160000_20000:40000-8       	1000000000	         0.003998 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_160000_40000:60000-8       	1000000000	         0.004961 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_160000_80000:100000-8      	1000000000	         0.005020 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_160000_120000:140000-8     	1000000000	         0.006091 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_160000_20000:40000-8     	1000000000	         0.004093 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_160000_40000:60000-8     	1000000000	         0.003148 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_160000_80000:100000-8    	1000000000	         0.0009996 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_160000_120000:140000-8   	1000000000	         0.005011 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_200000_25000:50000-8       	1000000000	         0.009014 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_200000_50000:75000-8       	1000000000	         0.0009990 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_200000_100000:125000-8     	1000000000	         0.002535 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_200000_150000:175000-8     	1000000000	         0.003025 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_200000_25000:50000-8     	1000000000	         0.008538 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_200000_50000:75000-8     	1000000000	         0.008116 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_200000_100000:125000-8   	1000000000	         0.002005 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_200000_150000:175000-8   	1000000000	         0.003080 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_240000_30000:60000-8       	1000000000	         0.001001 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_240000_60000:90000-8       	1000000000	         0.003995 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_240000_120000:150000-8     	1000000000	         0.002997 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_240000_180000:210000-8     	1000000000	         0.003003 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_240000_30000:60000-8     	1000000000	         0.004883 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_240000_60000:90000-8     	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_240000_120000:150000-8   	1000000000	         0.003007 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_240000_180000:210000-8   	1000000000	         0.006017 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_280000_35000:70000-8       	1000000000	         0.007009 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_280000_70000:105000-8      	1000000000	         0.002013 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_280000_140000:175000-8     	1000000000	         0.004015 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_280000_210000:245000-8     	1000000000	         0.007007 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_280000_35000:70000-8     	1000000000	         0.009993 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_280000_70000:105000-8    	1000000000	         0.001000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_280000_140000:175000-8   	1000000000	         0.005020 ns/op	       0 B/op	       0 allocs/op
