BenchmarkSplit/*main.AVLRope_split_40000_const-8         	1000000000	         0.0006452 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_40000_vary_5000-8     	1000000000	         0.001119 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_40000_vary_10000-8    	1000000000	         0.001125 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_40000_vary_20000-8    	1000000000	         0.001105 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_40000_vary_30000-8    	1000000000	         0.0005170 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_40000_vary_35000-8    	1000000000	         0.001115 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_40000_const-8       	1000000000	         0.001992 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_40000_vary_5000-8   	1000000000	         0.002007 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_40000_vary_10000-8  	1000000000	         0.004007 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_40000_vary_20000-8  	1000000000	         0.002985 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_40000_vary_30000-8  	1000000000	         0.001001 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_40000_vary_35000-8  	1000000000	         0.001677 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_80000_const-8         	1000000000	         0.002019 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_80000_vary_10000-8    	1000000000	         0.001985 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_80000_vary_20000-8    	1000000000	         0.001000 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_80000_vary_40000-8    	1000000000	         0.002028 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_80000_vary_60000-8    	1000000000	         0.003000 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_80000_vary_70000-8    	1000000000	         0.001020 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_80000_const-8       	1000000000	         0.003998 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_80000_vary_10000-8  	1000000000	         0.006003 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_80000_vary_20000-8  	1000000000	         0.005000 ns/op	       0 B/op	       0 allocs/op
